Name,Description,Tags,URL,Funding,LaunchDate,MarketCap,XFollowers,Status,Investors,XHandle,Logo
Arbitrum,Leading Ethereum Layer 2 scaling solution using optimistic rollups for faster and cheaper transactions,Layer2|DeFi|Infrastructure,https://arbitrum.io,$123.7M,2021-08-31,$2.1B,890000,Live,Lightspeed Venture Partners|Pantera Capital|Polychain Capital,@arbitrum,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1/logo.png
Optimism,Ethereum Layer 2 scaling solution using optimistic rollups with focus on simplicity and compatibility,Layer2|DeFi|Infrastructure,https://optimism.io,$178.5M,2021-12-16,$1.8B,650000,Live,Andreessen Horowitz|Paradigm|IDEO CoLab Ventures,@Optimism,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x4200000000000000000000000000000000000042/logo.png
zkSync,zkRollup Layer 2 scaling protocol providing trustless cryptographic security and scalability,Layer2|ZK|DeFi,https://zksync.io,$458M,2023-03-24,$950M,1200000,Live,a16z|Blockchain Capital|Dragonfly,@zksync,https://zksync.io/favicon.ico
Polygon,Multi-chain scaling solution for Ethereum providing fast and low-cost transactions,Layer2|DeFi|Infrastructure,https://polygon.technology,$451M,2020-05-30,$4.2B,1500000,Live,Sequoia Capital India|Tiger Global|SoftBank,@0xPolygon,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0/logo.png
Base,Coinbase's Ethereum Layer 2 built on the OP Stack for secure and low-cost onchain applications,Layer2|DeFi|Infrastructure,https://base.org,$0,2023-07-13,$3.5B,950000,Live,Coinbase Ventures,@base,https://raw.githubusercontent.com/base-org/brand-kit/main/logo/symbol.png
Uniswap,Leading decentralized exchange protocol for automated token swapping on Ethereum,DeFi|Infrastructure,https://uniswap.org,$177.5M,2018-11-02,$5.1B,1100000,Live,Andreessen Horowitz|Paradigm|Union Square Ventures,@Uniswap,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984/logo.png
Aave,Decentralized non-custodial liquidity protocol for earning interest and borrowing assets,DeFi,https://aave.com,$50M,2020-01-08,$1.9B,580000,Live,Blockchain Capital|ParaFi Capital|Framework Ventures,@aave,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9/logo.png
Compound,Autonomous interest rate protocol for supplying and borrowing crypto assets,DeFi,https://compound.finance,$62.2M,2018-09-27,$780M,420000,Live,Andreessen Horowitz|Bain Capital Ventures|Polychain Capital,@compoundfinance,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0xc00e94Cb662C3520282E6f5717214004A7f26888/logo.png
MakerDAO,Decentralized credit platform backing the DAI stablecoin with collateralized debt positions,DeFi|Infrastructure,https://makerdao.com,$54.5M,2017-12-17,$1.3B,380000,Live,Andreessen Horowitz|Dragonfly|Polychain Capital,@MakerDAO,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2/logo.png
Curve,Decentralized exchange optimized for stablecoin trading with low slippage,DeFi,https://curve.fi,$0,2020-01-10,$850M,310000,Live,Community Driven,@CurveFinance,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0xD533a949740bb3306d119CC777fa900bA034cd52/logo.png
Lido,Liquid staking solution for Ethereum allowing users to stake ETH without locking assets,DeFi|Infrastructure,https://lido.fi,$73M,2020-12-17,$2.4B,470000,Live,Paradigm|a16z|Dragonfly,@LidoFinance,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32/logo.png
Chainlink,Decentralized oracle network providing real-world data to smart contracts,Infrastructure|Data & Analysis,https://chain.link,$79M,2019-05-30,$8.7B,1800000,Live,Andreessen Horowitz|Pantera Capital|Framework Ventures,@chainlink,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x514910771AF9Ca656af840dff83E8264EcF986CA/logo.png
OpenSea,World's largest NFT marketplace for buying selling and discovering digital assets,NFT,https://opensea.io,$423.3M,2017-12-20,$13.3B,920000,Live,a16z|Paradigm|Coatue Management,@opensea,https://opensea.io/static/images/logos/opensea.svg
Blur,Professional NFT marketplace with advanced trading tools and zero marketplace fees,NFT,https://blur.io,$14M,2022-10-19,$580M,650000,Live,Paradigm|6529|Dharmesh Shah,@blur_io,https://icons.llama.fi/blur-lending.png
Azuki,Premium anime-inspired NFT collection building the future of Web3 culture,NFT,https://azuki.com,$30M,2022-01-12,$420M,890000,Live,Andreessen Horowitz|Coinbase Ventures,@azuki,
Pudgy Penguins,Beloved NFT collection of 8888 penguins building a global brand,NFT,https://pudgypenguins.com,$0,2021-07-22,$350M,620000,Live,Community Driven,@pudgypenguins,Pudgy_Penguins.webp
Bored Ape Yacht Club,Iconic NFT collection of 10000 unique apes with exclusive membership benefits,NFT,https://boredapeyachtclub.com,$450M,2021-04-23,$1.2B,340000,Live,a16z|Animoca Brands,@BoredApeYC,https://icons.llama.fi/re.jpg
The Sandbox,Decentralized virtual gaming world where players create own experiences and monetize,Gaming|NFT,https://sandbox.game,$201M,2020-11-29,$950M,1100000,Live,SoftBank|a16z|True Global Ventures,@TheSandboxGame,https://icons.llama.fi/x.jpg
Axie Infinity,Play-to-earn blockchain game where players battle and collect NFT creatures,Gaming|NFT,https://axieinfinity.com,$312M,2018-03-15,$680M,980000,Live,a16z|Paradigm|Accel,@AxieInfinity,https://icons.llama.fi/infinit.jpg
Immutable X,Layer 2 scaling solution for NFTs with zero gas fees and instant trades,NFT|Layer2,https://immutable.com,$277.8M,2021-11-01,$1.1B,520000,Live,Tencent|Bitkraft Ventures|King River Capital,@Immutable,
Celestia,Modular blockchain network enabling anyone to deploy their own blockchain,Infrastructure,https://celestia.org,$155M,2023-10-31,$2.1B,450000,Live,Bain Capital Crypto|Polychain Capital|Placeholder VC,@CelestiaOrg,
EigenLayer,Restaking protocol extending Ethereum's cryptoeconomic security to new services,Infrastructure|DeFi,https://eigenlayer.xyz,$164.5M,2023-06-14,$3.2B,780000,Live,Blockchain Capital|Coinbase Ventures|Polychain Capital,@eigenlayer,
The Graph,Decentralized protocol for indexing and querying blockchain data,Infrastructure|Data & Analysis,https://thegraph.com,$295M,2020-12-17,$1.5B,380000,Live,Multicoin Capital|Reciprocal Ventures|Coinbase Ventures,@graphprotocol,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0xc944E90C64B2c07662A292be6244BDf05Cda44a7/logo.png
ENS Domains,Ethereum Name Service providing human-readable names for Ethereum addresses,Infrastructure,https://ens.domains,$0,2017-05-04,$680M,290000,Live,Community Driven,@ensdomains,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72/logo.png
Safe,Most trusted platform for managing digital assets on Ethereum with multi-signature security,Infrastructure,https://safe.global,$100M,2018-07-10,$1.2B,210000,Live,1kx|Tiger Global|Digital Currency Group,@safe,https://icons.llama.fi/safe.png
dYdX,Leading decentralized exchange for perpetual trading with advanced features,DeFi|Layer2,https://dydx.exchange,$87M,2019-05-06,$520M,420000,Live,a16z|Polychain Capital|Paradigm,@dYdX,https://icons.llama.fi/dydx-v3.jpg
GMX,Decentralized perpetual exchange with low swap fees and zero price impact trades,DeFi,https://gmx.io,$0,2021-09-01,$780M,340000,Live,Community Driven,@GMX_IO,
1inch,DEX aggregator finding the best swap rates across multiple exchanges,DeFi,https://1inch.io,$194.8M,2019-08-15,$450M,690000,Live,Pantera Capital|Blockchain Capital|Galaxy Digital,@1inch,https://icons.llama.fi/1inch.jpg
Balancer,Automated portfolio manager and trading platform with programmable liquidity,DeFi,https://balancer.fi,$24.3M,2020-03-25,$350M,180000,Live,Placeholder VC|Accomplice|Inflection,@Balancer,https://icons.llama.fi/balancer-cow-amm.png
Synthetix,Derivatives liquidity protocol enabling creation of synthetic assets,DeFi,https://synthetix.io,$63M,2018-02-28,$480M,270000,Live,Framework Ventures|Coinbase Ventures|ParaFi Capital,@synthetix_io,https://icons.llama.fi/synthetix.png
