Name,Description,Tags,URL
Arbitrum,Leading Ethereum Layer 2 scaling solution using optimistic rollups for faster and cheaper transactions,Layer2|DeFi|Infrastructure,https://arbitrum.io
Optimism,Ethereum Layer 2 scaling solution using optimistic rollups with focus on simplicity and compatibility,Layer2|DeFi|Infrastructure,https://optimism.io
zkSync,zkRollup Layer 2 scaling protocol providing trustless cryptographic security and scalability,Layer2|ZK|DeFi,https://zksync.io
Polygon,Multi-chain scaling solution for Ethereum providing fast and low-cost transactions,Layer2|DeFi|Infrastructure,https://polygon.technology
Base,Coinbase's Ethereum Layer 2 built on the OP Stack for secure and low-cost onchain applications,Layer2|DeFi|Infrastructure,https://base.org
Uniswap,Leading decentralized exchange protocol for automated token swapping on Ethereum,DeFi|Infrastructure,https://uniswap.org
Aave,Decentralized non-custodial liquidity protocol for earning interest and borrowing assets,DeFi,https://aave.com
Compound,Autonomous interest rate protocol for supplying and borrowing crypto assets,DeFi,https://compound.finance
MakerDAO,Decentralized credit platform backing the DAI stablecoin with collateralized debt positions,DeFi|Infrastructure,https://makerdao.com
Curve,Decentralized exchange optimized for stablecoin trading with low slippage,DeFi,https://curve.fi
Lido,Liquid staking solution for Ethereum allowing users to stake ETH without locking assets,DeFi|Infrastructure,https://lido.fi
Chainlink,Decentralized oracle network providing real-world data to smart contracts,Infrastructure|Data & Analysis,https://chain.link
OpenSea,World's largest NFT marketplace for buying selling and discovering digital assets,NFT,https://opensea.io
Blur,Professional NFT marketplace with advanced trading tools and zero marketplace fees,NFT,https://blur.io
Azuki,Premium anime-inspired NFT collection building the future of Web3 culture,NFT,https://azuki.com
Pudgy Penguins,Beloved NFT collection of 8888 penguins building a global brand,NFT,https://pudgypenguins.com
Bored Ape Yacht Club,Iconic NFT collection of 10000 unique apes with exclusive membership benefits,NFT,https://boredapeyachtclub.com
The Sandbox,Decentralized virtual gaming world where players create own experiences and monetize,Gaming|NFT,https://sandbox.game
Axie Infinity,Play-to-earn blockchain game where players battle and collect NFT creatures,Gaming|NFT,https://axieinfinity.com
Immutable X,Layer 2 scaling solution for NFTs with zero gas fees and instant trades,NFT|Layer2,https://immutable.com
Celestia,Modular blockchain network enabling anyone to deploy their own blockchain,Infrastructure,https://celestia.org
